PID,area,price,MS.SubClass,MS.Zoning,Lot.Frontage,Lot.Area,Street,Alley,Lot.Shape,Land.Contour,Utilities,Lot.Config
527455250,988,129250,20,RL,65,7150,Pave,NA,Reg,Lvl,AllPub,Inside
532354160,864,141000,20,RL,NA,8499,Pave,NA,IR1,Lvl,AllPub,Corner
534127190,2156,262500,20,RL,NA,20781,Pave,NA,IR2,Lvl,AllPub,CulDSac
533252040,1694,318750,20,RL,NA,14694,Pave,NA,IR1,Lvl,AllPub,Inside
907200110,938,130250,20,RL,NA,9200,Pave,NA,IR1,Lvl,AllPub,CulDSac
528138020,1822,259000,20,RL,79,14122,Pave,NA,IR1,Lvl,AllPub,Inside
905106150,894,129000,20,RL,109,8724,Pave,NA,Reg,Lvl,AllPub,Inside
907290210,848,140000,120,RM,NA,4435,Pave,NA,Reg,Lvl,AllPub,Inside
908152110,1398,160500,60,RL,72,7200,Pave,NA,Reg,Lvl,AllPub,Inside
533253180,1295,213750,120,RL,40,3840,Pave,NA,IR1,Lvl,AllPub,Inside
527163130,1516,181316,60,RL,NA,8803,Pave,NA,IR1,Lvl,AllPub,Inside
905109170,1483,270000,20,RL,NA,20062,Pave,NA,IR1,Low,AllPub,Inside
914475020,1118,171000,80,RL,76,9880,Pave,NA,Reg,Lvl,AllPub,Inside
906230020,2787,269500,90,RL,NA,7939,Pave,NA,Reg,Lvl,AllPub,Inside
535378020,792,109500,30,RL,52,9022,Pave,NA,Reg,Lvl,AllPub,Inside
532476050,2646,260000,80,RL,100,14330,Pave,NA,IR1,Low,AllPub,Corner
902325100,2104,155000,75,RM,70,6300,Pave,NA,Reg,Lvl,AllPub,Corner
527302185,2064,235000,20,RL,56,18559,Pave,NA,IR1,Lvl,AllPub,CulDSac
903455030,1308,120000,50,RM,NA,10320,Pave,Grvl,Reg,Lvl,AllPub,Inside
534252270,1978,176000,60,RL,NA,9900,Pave,NA,Reg,Lvl,AllPub,Inside
904301410,1032,125000,30,RL,55,8250,Pave,NA,Reg,Lvl,AllPub,Inside
534402140,1154,154000,20,RL,NA,11000,Pave,NA,IR1,Lvl,AllPub,CulDSac
916403200,2237,204000,60,RL,NA,9839,Pave,NA,IR1,Lvl,AllPub,CulDSac
528150090,1780,378000,20,RL,131,14828,Pave,NA,IR1,Lvl,AllPub,Corner
909251050,1232,147500,30,RL,64,8574,Pave,NA,Reg,Lvl,AllPub,Inside
902110010,967,99900,30,RM,56,3153,Pave,Grvl,Reg,Lvl,AllPub,Inside
903227150,1453,132000,50,RM,53,6360,Pave,NA,Reg,Lvl,AllPub,Corner
535105090,1431,165000,80,RL,101,9150,Pave,NA,IR1,Lvl,AllPub,Corner
535425080,2448,277500,60,RL,NA,18275,Pave,NA,IR1,HLS,AllPub,Inside
906230030,2787,269500,90,RL,NA,7976,Pave,NA,Reg,Lvl,AllPub,Inside
903455090,1360,125500,50,RM,60,7200,Pave,NA,Reg,Lvl,AllPub,Corner
902106140,1028,115000,30,RM,56,8960,Pave,Grvl,Reg,Lvl,AllPub,Inside
905402070,1383,122000,20,RL,NA,15635,Pave,NA,IR1,Lvl,AllPub,CulDSac
534403100,1350,168500,80,RL,82,9020,Pave,NA,Reg,Lvl,AllPub,Corner
907192090,1573,227000,20,RL,67,9808,Pave,NA,IR1,Lvl,AllPub,Inside
908102020,1436,98000,70,RL,67,8777,Pave,NA,Reg,Bnk,AllPub,Inside
907412040,1445,186500,20,RL,75,9750,Pave,NA,Reg,Lvl,AllPub,Inside
528102140,2772,462000,60,RL,110,14257,Pave,NA,Reg,Lvl,AllPub,Inside
902327070,2007,160000,70,RM,70,8400,Pave,NA,Reg,Lvl,AllPub,Corner
527455280,1120,148800,20,RL,NA,10710,Pave,NA,Reg,Lvl,AllPub,Inside
908127040,960,94750,20,RL,73,10921,Pave,NA,Reg,HLS,AllPub,Inside
535457040,1800,141000,90,RL,80,8000,Pave,NA,Reg,Lvl,AllPub,Corner
528110110,2464,417500,20,RL,105,13693,Pave,NA,Reg,Lvl,AllPub,Inside
535151160,1283,140000,20,RL,70,7763,Pave,NA,Reg,Lvl,AllPub,Inside
532377100,1040,133000,20,RL,75,7500,Pave,NA,Reg,Lvl,AllPub,Corner
907262080,1909,197000,60,RL,70,8726,Pave,NA,Reg,Lvl,AllPub,Inside
528235120,1593,193000,60,RL,62,7415,Pave,NA,IR1,Lvl,AllPub,Inside
923250060,1126,160000,20,RL,80,17400,Pave,NA,Reg,Low,AllPub,Inside
528348030,2385,252000,60,RL,83,10790,Pave,NA,Reg,Lvl,AllPub,Inside
909254050,1512,231000,70,RL,54,7609,Pave,NA,Reg,Lvl,AllPub,Corner
903201090,1060,136500,40,RL,55,6854,Pave,NA,Reg,Bnk,AllPub,Inside
527401160,1792,136000,90,RL,60,9000,Pave,NA,Reg,Lvl,AllPub,FR2
528477020,1656,249700,20,FV,84,11096,Pave,NA,Reg,Lvl,AllPub,Inside
904350045,919,95000,50,RL,65,6001,Pave,NA,IR1,Bnk,AllPub,Inside
528120110,2098,275500,60,RL,80,10240,Pave,NA,Reg,Lvl,AllPub,Inside
534476080,1150,144000,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,Inside
905451330,1509,159900,20,RL,68,9571,Pave,NA,Reg,Lvl,AllPub,Inside
533206040,1143,176400,120,FV,34,3628,Pave,Pave,Reg,Lvl,AllPub,Inside
909256020,1288,112000,50,RL,51,6191,Pave,NA,Reg,Lvl,AllPub,Corner
535102010,1280,175000,85,RL,NA,10050,Pave,NA,IR1,Lvl,AllPub,Inside
531367050,2084,233000,60,RL,76,10142,Pave,NA,IR1,Lvl,AllPub,Inside
532378240,902,125500,20,RL,NA,6173,Pave,NA,IR1,Lvl,AllPub,Inside
905201020,960,144900,20,RL,94,9239,Pave,NA,Reg,Lvl,AllPub,Inside
909251170,1608,137450,50,RL,51,6171,Pave,NA,Reg,Lvl,AllPub,Inside
527166040,1465,180400,60,RL,63,8402,Pave,NA,IR1,Lvl,AllPub,Inside
533213120,1549,172900,160,FV,24,2280,Pave,Pave,Reg,Lvl,AllPub,Inside
909252220,1264,147500,50,RL,63,15564,Pave,NA,Reg,Lvl,AllPub,Inside
534127260,1295,164000,20,RL,130,11700,Pave,NA,Reg,Lvl,AllPub,Corner
533135020,1755,235000,60,RL,NA,11949,Pave,NA,Reg,Lvl,AllPub,Inside
909252170,1436,141500,70,RL,53,6720,Pave,NA,Reg,Lvl,AllPub,Inside
527453140,1055,123000,120,RL,24,2280,Pave,NA,Reg,Lvl,AllPub,FR2
535302070,948,125000,20,RL,60,10950,Pave,NA,Reg,Lvl,AllPub,Inside
909451150,1556,151000,160,RM,24,1950,Pave,NA,Reg,Lvl,AllPub,Inside
905352070,1524,245000,20,RL,82,20270,Pave,NA,IR1,Lvl,AllPub,CulDSac
527184020,1179,182000,120,RL,38,4740,Pave,NA,IR1,Lvl,AllPub,Inside
528186160,1342,234250,120,RL,48,6240,Pave,NA,Reg,Lvl,AllPub,Inside
905200290,1803,155000,20,RL,88,13125,Pave,NA,Reg,Lvl,AllPub,Corner
906226060,2016,131000,70,RL,120,26400,Pave,NA,Reg,Bnk,AllPub,FR2
528228460,1145,160200,120,RL,43,3182,Pave,NA,Reg,Lvl,AllPub,Inside
905426100,2008,225000,20,RL,78,7800,Pave,NA,Reg,Bnk,AllPub,Inside
533213040,1471,172500,160,FV,34,3230,Pave,Pave,Reg,Lvl,AllPub,Inside
907126030,990,155000,20,RL,65,9750,Pave,NA,Reg,Low,AllPub,Inside
903451110,1108,139400,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside
923225370,988,94900,180,RM,21,1596,Pave,NA,Reg,Lvl,AllPub,Inside
527326150,1602,215000,20,RL,NA,16635,Pave,NA,IR1,Lvl,AllPub,FR2
903430090,1635,117000,50,RM,59,5310,Pave,NA,Reg,Lvl,AllPub,Corner
527252050,1612,319900,120,RL,61,8035,Pave,NA,IR1,HLS,AllPub,Inside
534252240,1342,161500,20,RL,NA,9790,Pave,NA,Reg,Lvl,AllPub,Inside
907131190,1463,207000,20,RL,65,14753,Pave,NA,IR2,Low,AllPub,Inside
527450110,987,103400,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub,Inside
908152035,1149,127000,20,RL,80,10682,Pave,NA,Reg,Lvl,AllPub,Inside
535175030,1632,139000,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,Inside
534401140,1510,178900,20,RL,88,9680,Pave,NA,Reg,Lvl,AllPub,Inside
532479020,1641,140000,50,RL,70,10759,Pave,NA,Reg,Lvl,AllPub,Corner
903236010,1285,127000,50,RM,50,8635,Pave,NA,Reg,Lvl,AllPub,Inside
528142150,1760,269500,20,RL,90,12878,Pave,NA,IR1,Lvl,AllPub,Corner
907252060,2184,254750,60,RL,NA,12334,Pave,NA,IR1,Lvl,AllPub,Inside
528480040,1953,252000,60,FV,85,10574,Pave,NA,Reg,Lvl,AllPub,Inside
909475300,1680,222000,20,RL,NA,21695,Pave,NA,IR1,Lvl,AllPub,Corner
534276180,1074,124000,20,RL,74,7450,Pave,NA,IR1,Lvl,AllPub,Inside
907194160,1444,203000,20,RL,65,10739,Pave,NA,IR1,Lvl,AllPub,Inside
906203120,2196,271900,20,RL,90,14684,Pave,NA,IR1,Lvl,AllPub,CulDSac
532354230,864,122000,20,RL,NA,9079,Pave,NA,IR1,Lvl,AllPub,Inside
907252020,2169,228500,60,RL,NA,9375,Pave,NA,Reg,Lvl,AllPub,Inside
903235010,1362,128000,70,RM,60,6155,Pave,NA,IR1,Lvl,AllPub,FR3
535375050,1656,135000,50,RL,60,10410,Pave,NA,Reg,Lvl,AllPub,Inside
528456220,1590,210000,60,FV,75,9000,Pave,NA,Reg,Lvl,AllPub,Inside
535126040,1888,190000,20,RL,137,16492,Pave,NA,IR1,Lvl,AllPub,Corner
916176125,2036,375000,20,RL,150,215245,Pave,NA,IR3,Low,AllPub,Inside
903401020,1820,184000,50,RL,60,9120,Pave,Pave,Reg,Lvl,AllPub,Inside
907275150,2439,275000,60,RL,NA,12728,Pave,NA,Reg,Lvl,AllPub,Inside
528315070,1976,286000,60,RL,84,9660,Pave,NA,IR1,Lvl,AllPub,Inside
905426030,1518,260000,30,RL,85,19550,Pave,NA,Reg,Lvl,AllPub,Inside
909100080,1296,104000,30,RL,67,4853,Pave,NA,Reg,Bnk,AllPub,Inside
906223080,1879,239900,60,RL,85,10560,Pave,NA,Reg,Lvl,AllPub,Corner
908275280,1393,135500,50,RL,59,16466,Pave,NA,IR1,Lvl,AllPub,Inside
534152120,1334,167900,20,RL,80,9650,Pave,NA,Reg,Lvl,AllPub,Inside
534475250,1691,175000,20,RL,90,9900,Pave,NA,Reg,Lvl,AllPub,Inside
527453150,836,120000,120,RL,24,2280,Pave,NA,Reg,Lvl,AllPub,FR2
903475100,1427,123000,70,RM,NA,5775,Pave,NA,IR2,Bnk,AllPub,Corner
923225190,1304,104500,160,RM,41,2665,Pave,NA,Reg,Lvl,AllPub,Inside
535453080,1040,152000,20,RL,NA,7500,Pave,NA,Reg,Lvl,AllPub,Inside
909455040,1191,162500,120,RM,35,3907,Pave,NA,IR1,HLS,AllPub,Inside
526352080,1587,167300,20,RL,85,10667,Pave,NA,Reg,Lvl,AllPub,Inside
902301030,1472,125000,50,RM,60,9600,Pave,Grvl,Reg,Lvl,AllPub,Inside
924100070,1389,170000,20,RL,77,10010,Pave,NA,Reg,Lvl,AllPub,Inside
531376070,1162,170000,20,RL,81,9260,Pave,NA,Reg,Lvl,AllPub,Corner
909101330,498,35000,30,RL,60,8088,Pave,Grvl,Reg,Lvl,AllPub,Inside
907227050,864,127000,20,RL,60,7180,Pave,NA,IR1,Lvl,AllPub,Inside
906203140,2127,238000,60,RL,103,13125,Pave,NA,IR1,Lvl,AllPub,Corner
528174060,1306,196000,120,RL,34,5381,Pave,NA,IR1,Lvl,AllPub,Inside
902406090,1795,131500,50,RM,81,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside
907252120,1601,272000,20,RL,NA,11423,Pave,NA,Reg,Lvl,AllPub,Inside
908275200,768,125000,20,RL,60,8172,Pave,NA,Reg,Lvl,AllPub,Inside
923276030,833,149900,20,RL,76,12887,Pave,NA,Reg,Lvl,AllPub,Inside
921128050,1978,425000,20,RL,85,12633,Pave,NA,IR1,HLS,AllPub,Inside
528292040,1675,181000,60,RL,NA,24682,Pave,NA,IR3,Lvl,AllPub,CulDSac
906392100,1734,260000,20,RL,78,11645,Pave,NA,Reg,Lvl,AllPub,Inside
923204150,1824,139000,90,RL,94,9400,Pave,NA,Reg,Low,AllPub,Corner
902106090,1428,139900,70,RM,58,6451,Pave,Grvl,Reg,Lvl,AllPub,Inside
527425035,864,111250,20,RL,NA,12735,Pave,NA,IR1,Lvl,AllPub,FR2
527131110,1682,247900,120,RL,45,6264,Pave,NA,IR1,Lvl,AllPub,Corner
907290090,1630,213000,20,RL,75,9750,Pave,NA,Reg,Lvl,AllPub,Inside
907175100,1779,197900,60,RL,80,10400,Pave,NA,Reg,Lvl,AllPub,Corner
527455090,836,128500,120,RL,24,2104,Pave,NA,Reg,Lvl,AllPub,Inside
535177110,1721,174850,20,RL,80,9736,Pave,NA,Reg,Lvl,AllPub,Inside
533205110,1378,214000,120,FV,45,4379,Pave,NA,IR1,Lvl,AllPub,FR2
923202025,1368,215000,90,RM,78,7020,Pave,NA,Reg,Lvl,AllPub,Inside
535301080,882,116000,20,RL,60,11556,Pave,NA,Reg,Lvl,AllPub,Inside
923276100,902,131000,20,RL,NA,8885,Pave,NA,IR1,Low,AllPub,Inside
527450210,987,83000,160,RM,21,1953,Pave,NA,Reg,Lvl,AllPub,Inside
909275080,1567,205000,50,RL,60,13680,Pave,NA,Reg,HLS,AllPub,Inside
531375130,1114,153000,20,RL,60,12450,Pave,NA,Reg,Lvl,AllPub,Inside
531363080,1142,139500,20,RL,74,7733,Pave,NA,IR1,Lvl,AllPub,Inside
535457010,1116,160000,20,RL,87,10000,Pave,NA,IR1,Lvl,AllPub,Corner
903234050,1068,109500,30,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Inside
916386140,1466,201000,20,RL,73,8925,Pave,NA,IR1,HLS,AllPub,Inside
535452120,1507,127000,80,RL,70,7910,Pave,NA,Reg,Lvl,AllPub,Inside
902205090,928,112500,20,RM,50,6000,Pave,NA,Reg,Lvl,AllPub,Inside
916225130,2519,335000,60,RL,42,26178,Pave,NA,IR1,Lvl,AllPub,Inside
527162120,1636,191000,60,RL,60,7500,Pave,NA,Reg,Lvl,AllPub,Inside
528294060,1651,185900,60,RL,77,8390,Pave,NA,IR1,Lvl,AllPub,Inside
535425050,1472,157500,20,RL,86,11650,Pave,NA,Reg,Lvl,AllPub,Corner
905403150,1094,155000,20,RL,85,10452,Pave,NA,IR1,Lvl,AllPub,Inside
907401050,1390,207000,20,RL,70,8810,Pave,NA,Reg,Lvl,AllPub,Inside
528344100,2612,336000,60,RL,98,12203,Pave,NA,IR1,Lvl,AllPub,Corner
903458060,1196,109900,30,RM,40,4800,Pave,NA,Reg,Lvl,AllPub,Inside
535179050,1092,141000,20,RL,69,14850,Pave,NA,IR1,Lvl,AllPub,Inside
534276290,882,106500,20,RL,NA,8339,Pave,NA,IR1,Lvl,AllPub,Inside
532354060,1057,132000,20,RL,70,7420,Pave,NA,Reg,Lvl,AllPub,Inside
535352090,793,113000,30,RL,80,8480,Pave,NA,Reg,Lvl,AllPub,Corner
916403020,1339,180000,20,RL,50,8049,Pave,NA,IR1,Lvl,AllPub,CulDSac
904301100,1152,159900,90,RL,NA,10547,Pave,NA,IR1,Lvl,AllPub,Inside
527180100,1442,180500,20,RL,99,11851,Pave,NA,Reg,Lvl,AllPub,Corner
907200270,1040,134900,20,RL,45,8982,Pave,NA,IR1,Lvl,AllPub,CulDSac
535179120,922,116000,20,RL,72,9770,Pave,NA,Reg,Lvl,AllPub,Inside
902107050,936,140000,90,RM,60,7200,Pave,Grvl,Reg,Lvl,AllPub,Inside
527453130,1456,149900,160,RL,24,2280,Pave,NA,Reg,Lvl,AllPub,FR2
903233080,2009,150000,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside
907200250,1009,160000,80,RL,72,9720,Pave,NA,Reg,Lvl,AllPub,Inside
535125090,1986,205000,60,RL,85,13600,Pave,NA,Reg,Lvl,AllPub,Inside
527182040,1088,170000,120,RL,NA,3696,Pave,NA,Reg,Lvl,AllPub,Inside
907280040,2098,240000,60,RL,75,9375,Pave,NA,Reg,Lvl,AllPub,Inside
534275100,864,118000,20,RL,65,8125,Pave,NA,Reg,Lvl,AllPub,Inside
905352030,2022,192000,60,RL,83,10005,Pave,NA,Reg,Lvl,AllPub,Inside
903231070,1176,114500,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside
903205040,952,121000,30,RL,NA,8854,Pave,NA,Reg,Lvl,AllPub,Inside
527455050,1548,147000,160,RL,24,2364,Pave,NA,Reg,Lvl,AllPub,Inside
906392110,1498,237000,20,RL,78,11645,Pave,NA,Reg,Lvl,AllPub,Inside
528172050,1614,245700,20,RL,70,9926,Pave,NA,IR1,Lvl,AllPub,Inside
909254010,1228,137000,70,RL,53,7155,Pave,NA,Reg,Lvl,AllPub,Inside
527180040,1341,171500,20,RL,85,10176,Pave,NA,Reg,Lvl,AllPub,Inside
903234030,1103,110500,30,RM,50,6000,Pave,NA,Reg,Lvl,AllPub,Inside
528390020,1987,301500,20,RL,91,14303,Pave,NA,IR1,Lvl,AllPub,Corner
908204180,1152,61500,90,RL,74,6882,Pave,NA,Reg,Lvl,AllPub,Corner
909251030,1422,136500,30,RL,54,7223,Pave,NA,Reg,Lvl,AllPub,Inside
905352140,1981,230000,60,RL,NA,17082,Pave,NA,IR1,Low,AllPub,CulDSac
528250100,1430,180000,80,RL,NA,7750,Pave,NA,IR1,Lvl,AllPub,Inside
916125425,1786,228950,190,RL,NA,164660,Grvl,NA,IR1,HLS,AllPub,Corner
528120030,1743,335000,20,RL,87,10367,Pave,NA,IR1,Lvl,AllPub,Inside
907290250,848,145000,120,RM,NA,4426,Pave,NA,Reg,Lvl,AllPub,Inside
905103030,1096,157500,80,RL,80,13014,Pave,NA,Reg,Lvl,AllPub,Inside
535402100,1146,165000,80,RL,83,10184,Pave,NA,Reg,Lvl,AllPub,Inside
527427200,1337,177000,120,RH,26,10943,Pave,NA,IR2,Lvl,AllPub,FR2
907418040,1361,193000,20,RL,74,9627,Pave,NA,Reg,Lvl,AllPub,Inside
903426200,1560,159900,70,RM,60,12900,Pave,Grvl,Reg,Lvl,AllPub,Inside
535353040,1031,145500,20,RL,60,7626,Pave,NA,Reg,Lvl,AllPub,Inside
902134060,1376,96900,70,RM,42,7614,Pave,Grvl,Reg,Lvl,AllPub,Inside
527127150,1338,213500,120,RL,41,4920,Pave,NA,Reg,Lvl,AllPub,Inside
903205085,1167,144000,30,RL,98,8731,Pave,NA,IR1,Lvl,AllPub,Inside
909425010,1954,311500,50,RL,NA,15660,Pave,NA,IR1,Lvl,AllPub,Corner
531376060,1486,181000,20,RL,65,7441,Pave,NA,IR1,Lvl,AllPub,Inside
528108070,2184,335000,60,RL,96,11308,Pave,NA,IR1,Lvl,AllPub,Inside
528228295,1569,175900,120,RL,51,3635,Pave,NA,Reg,Lvl,AllPub,Inside
909275310,2624,239000,70,RL,86,22420,Pave,NA,IR1,Lvl,AllPub,Inside
533244040,2362,312500,60,FV,106,8413,Pave,NA,IR1,Lvl,AllPub,Inside
902204120,1566,139000,50,RM,50,6000,Pave,NA,Reg,Lvl,AllPub,Inside
905107070,1400,149500,60,RL,74,7844,Pave,NA,Reg,Lvl,AllPub,Inside
535325400,985,105000,30,RL,65,7898,Pave,NA,Reg,Lvl,AllPub,Corner
903425340,960,129000,190,RL,60,9873,Pave,NA,Reg,Lvl,AllPub,Inside
905475270,864,118000,20,RL,60,5400,Pave,NA,Reg,HLS,AllPub,Inside
528120130,2331,379000,60,RL,102,12151,Pave,NA,IR1,Lvl,AllPub,Inside
527256120,2000,470000,20,RL,90,18261,Pave,NA,IR1,HLS,AllPub,Inside
528174040,1362,207000,120,RL,41,6289,Pave,NA,IR1,Lvl,AllPub,Inside
534427140,1327,150750,20,RL,75,7388,Pave,NA,Reg,Lvl,AllPub,Corner
528360050,3500,584500,60,RL,114,17242,Pave,NA,IR1,Lvl,AllPub,Inside
905402110,1350,146000,20,RL,75,9375,Pave,NA,Reg,Lvl,AllPub,Corner
905228020,998,89500,20,RL,NA,9000,Pave,NA,Reg,Lvl,AllPub,Inside
534478140,1920,137000,90,RL,95,11345,Pave,NA,Reg,Lvl,AllPub,Corner
533254130,1262,181500,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2
907180040,1786,204750,60,RL,69,9337,Pave,NA,IR1,Lvl,AllPub,Inside
907270040,2452,267000,60,RL,66,16226,Pave,NA,IR3,Lvl,AllPub,Inside
526302030,1293,149900,20,RL,NA,11027,Pave,NA,IR1,Lvl,AllPub,Inside
531452180,1744,194500,60,RL,NA,9453,Pave,NA,IR1,Lvl,AllPub,CulDSac
528315090,2365,337000,60,RL,82,9430,Pave,NA,Reg,Lvl,AllPub,Inside
528186010,1712,286500,20,RL,129,16770,Pave,NA,Reg,Lvl,AllPub,Corner
903232190,1040,123900,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside
528387030,2232,263550,60,RL,NA,11692,Pave,NA,IR1,Lvl,AllPub,Inside
914465060,1689,271000,20,RL,NA,13265,Pave,NA,IR1,Lvl,AllPub,CulDSac
534225120,1728,142600,90,RL,74,13101,Pave,NA,IR1,Lvl,AllPub,Inside
907203090,924,110000,20,RL,88,7990,Pave,NA,IR1,Lvl,AllPub,Inside
535379110,1534,148000,70,RL,60,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside
527127140,1593,286000,120,RL,41,4923,Pave,NA,Reg,Lvl,AllPub,Inside
902128020,864,105000,20,RM,60,7200,Pave,Grvl,Reg,Lvl,AllPub,Inside
905475160,1089,125000,20,RL,62,7440,Pave,NA,Reg,Lvl,AllPub,Inside
528240070,1960,216500,60,RL,NA,7851,Pave,NA,Reg,Lvl,AllPub,Inside
923228250,1092,75000,160,RM,21,2001,Pave,NA,Reg,Lvl,AllPub,Inside
532477040,2167,294000,60,RL,NA,17542,Pave,NA,IR1,Lvl,AllPub,Inside
535151080,1008,135000,20,RL,109,9723,Pave,NA,IR1,Lvl,AllPub,Corner
923228370,1092,85500,160,RM,21,1890,Pave,NA,Reg,Lvl,AllPub,Inside
907187080,1479,191000,20,RL,93,9382,Pave,NA,IR1,Lvl,AllPub,CulDSac
